id,name,rating,release_date,duration,description
91,Taare Zameen Par,"8.4/10                    
                    169,681
                        
                                412 user
                                35 critic
                        
            

  Rate This123456789100",21 December 2007 (UK),2h 45min,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
92,Star Wars: Return of the Jedi,"8.3/10                    
                    953,041
                        
                                869 user
                                204 critic
                        
            

  Rate This123456789100",2 June 1983 (UK),2h 11min,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
93,The Help,"8.0/10                    
                    429,685
                        
                                594 user
                                395 critic
                        
            

  Rate This123456789100",26 October 2011 (UK),2h 26min,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
94,The Lives of Others,"8.4/10                    
                    359,849
                        
                                521 user
                                224 critic
                        
            

  Rate This123456789100",13 April 2007 (UK),2h 17min,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
95,Monty Python and the Holy Grail,"8.2/10                    
                    501,955
                        
                                793 user
                                104 critic
                        
            

  Rate This123456789100",25 May 1975 (UK),1h 31min,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
96,Grave of the Fireflies,"8.5/10                    
                    236,423
                        
                                785 user
                                132 critic
                        
            

  Rate This123456789100",7 April 1989 (UK),1h 29min,A young boy and his little sister struggle to survive in Japan during World War II.
97,Lawrence of Arabia,"8.3/10                    
                    268,872
                        
                                700 user
                                155 critic
                        
            

  Rate This123456789100",11 December 1962 (UK),3h 48min,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
98,12 Years a Slave,"8.1/10                    
                    642,517
                        
                                899 user
                                483 critic
                        
            

  Rate This123456789100",10 January 2014 (UK),2h 14min,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
99,"Three Billboards Outside Ebbing, Missouri","8.2/10                    
                    435,300
                        
                                1,252 user
                                580 critic
                        
            

  Rate This123456789100",12 January 2018 (UK),1h 55min,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
100,Modern Times,"8.5/10                    
                    218,702
                        
                                316 user
                                117 critic
                        
            

  Rate This123456789100",11 February 1936 (UK),1h 27min,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
101,The Sixth Sense,"8.1/10                    
                    913,460
                        
                                2,255 user
                                265 critic
                        
            

  Rate This123456789100",5 November 1999 (UK),1h 47min,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
102,Children of Heaven,"8.3/10                    
                    65,691
                        
                                190 user
                                60 critic
                        
            

  Rate This123456789100",1997 (Iran),1h 29min,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
