web-scraper-order,web-scraper-start-url,name,name-href,rating,release_date,duration,description
"1613479690-1098","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Gold Rush","https://www.imdb.com/title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154","8.2/10                    
                    101,474
                        
                                201 user
                                127 critic
                        
            

  Rate This123456789100","13 July 1925 (Brazil)","1h 35min","A prospector goes to the Klondike in search of gold and finds it and more."
"1613479812-1136","https://www.imdb.com/chart/top?ref_=nv_mv_250","Metropolis","https://www.imdb.com/title/tt0017136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116","8.3/10                    
                    160,532
                        
                                508 user
                                214 critic
                        
            

  Rate This123456789100","6 February 1927 (France)","2h 33min","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
"1613479594-1069","https://www.imdb.com/chart/top?ref_=nv_mv_250","The Deer Hunter","https://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183","8.1/10                    
                    312,309
                        
                                1,165 user
                                145 critic
                        
            

  Rate This123456789100","28 February 1979 (UK)","3h 3min","An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania."
"1613479789-1129","https://www.imdb.com/chart/top?ref_=nv_mv_250","Heat","https://www.imdb.com/title/tt0113277/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_123","8.2/10                    
                    579,287
                        
                                1,123 user
                                215 critic
                        
            

  Rate This123456789100","2 February 1996 (UK)","2h 50min","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist."
"1613480145-1237","https://www.imdb.com/chart/top?ref_=nv_mv_250","Star Wars: Episode V - The Empire Strikes Back","https://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15","8.7/10                    
                    1,162,576
                        
                                1,282 user
                                231 critic
                        
            

  Rate This123456789100","21 May 1980 (UK)","2h 4min","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
"1613479989-1188","https://www.imdb.com/chart/top?ref_=nv_mv_250","Avengers: Infinity War","https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64","8.4/10                    
                    839,921
                        
                                4,312 user
                                616 critic
                        
            

  Rate This123456789100","26 April 2018 (UK)","2h 29min","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"1613479796-1131","https://www.imdb.com/chart/top?ref_=nv_mv_250","Up","https://www.imdb.com/title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_121","8.2/10                    
                    938,443
                        
                                954 user
                                420 critic
                        
            

  Rate This123456789100","9 October 2009 (UK)","1h 36min","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
"1613479848-1147","https://www.imdb.com/chart/top?ref_=nv_mv_250","Scarface","https://www.imdb.com/title/tt0086250/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_105","8.3/10                    
                    743,329
                        
                                1,090 user
                                180 critic
                        
            

  Rate This123456789100","10 February 1984 (UK)","2h 50min","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
"1613479687-1097","https://www.imdb.com/chart/top?ref_=nv_mv_250","My Father and My Son","https://www.imdb.com/title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155","8.3/10                    
                    79,255
                        
                                132 user
                                6 critic
                        
            

  Rate This123456789100","18 November 2005 (Turkey)","1h 52min","The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980."
"1613479665-1090","https://www.imdb.com/chart/top?ref_=nv_mv_250","Warrior","https://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162","8.2/10                    
                    437,067
                        
                                716 user
                                341 critic
                        
            

  Rate This123456789100","23 September 2011 (UK)","2h 20min","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
"1613479693-1099","https://www.imdb.com/chart/top?ref_=nv_mv_250","Chinatown","https://www.imdb.com/title/tt0071315/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=RYKJQJ4X4CJ8G8NDRW3F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153","8.1/10                    
                    295,222
                        
                                556 user
                                156 critic
                        
            

  Rate This123456789100","9 August 1974 (UK)","2h 10min","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
